ラディソン ブル セブ,Radisson Blu Cebu,リゾートホテル,Resort hotel,2010年11月に開業した比較的新しいホテル。ショッピングセンターの「SMシティ・セブ」と歩道橋でつながっている。セブ港にも比較的近く、セブ港から出発するボホール島へのツアーやダイビングに出かける場合にも便利。,,,,セブ市内,Cebu city,"Serging Osmena Boulevard, Corner Juan Luna Avenue, Cebu City, 6000 Cebu, Philippines",https://goo.gl/maps/7Jbj3pJnuRs2Cju3A,https://www.radissonhotels.com/en-us/hotels/radisson-blu-cebu
プランテーション ベイ リゾート アンド スパ,Plantation Bay Resort & Spa,リゾートホテル,Resort hotel,1996年オープン。広大な敷地を持ち、静かな敷地内で、落ち着いたリゾート滞在を過ごせる。客室をはじめとする建物のほとんどに自然素材が使われており、素朴な雰囲気を感じられる。,,,,ラプラプ,Lapu-Lapu,"Marigondon, Mactan Island, Lapu-Lapu City, 6015 Cebu, Philippines",https://goo.gl/maps/6UyYfFtfvCerYza1A,https://plantationbay.com/
シャングリ・ラ マクタン リゾゾート & スパ,Shangri-La's Mactan Resort & Spa,リゾートホテル,Resort hotel,高級大型リゾート。500を越える客室をはじめ、全長350mを誇る美しいプライベートビーチ、1500㎡メインプールなどを備える。海洋保護区に指定されたプライベートビーチでスノーケリングや、マリンスポーツを存分に楽しむことができます。,,,,ラプラプ,Lapu-Lapu,"Punta Enga?o Rd, Lapu-Lapu City, Cebu, 6015 Cebu, Philippines",https://goo.gl/maps/pM1QzPut9DVtjSou7,https://www.shangri-la.com
Jパーク アイランド リゾート ＆ ウォーターパーク セブ,JPark Island Resort & Waterpark,リゾートホテル,Resort hotel,セブ島最大級の広さを誇るウォーターパークが特徴。長さ120mと150mの2本のスライダーと円状で螺旋を描きながら落ちるスペースボウルのウォータースライダーを楽しむことができます。,,,,ラプラプ,Lapu-Lapu,"M.L. Quezon National Highway, Maribago, Lapu-Lapu City, Cebu, Philippines",https://goo.gl/maps/ZzRT6es9E2r7WMLm6,https://jparkislandresort.com
クリムソン リゾート＆スパ マクタン,Crimson Resort & Spa - Mactan,リゾートホテル,Resort hotel,2010年10月にオープン。プールと海が一体化したインフィニティプールが特徴。低層のヴィラタイプの客室が広がっているため、空が広く感じられる。大人から子供まで楽しめるリゾート。,,,,ラプラプ,Lapu-Lapu,"Seascapes Resort Town Mactan Island, Lapu-Lapu City, 6015 Cebu, Philippines",https://g.page/CrimsonMactan?share,https://crimsonhotel.com/mactan
ブルーウォーター スミロン アイランド リゾート,Bluewater Sumilon Island Resort,リゾートホテル,Resort hotel,広さ24ヘクタールのスミロン島の唯一のリゾート。美しい大自然に囲まれる最高のロケーション。客室から透明感たっぷりの海と美しい白い砂浜の景色が広がる。3月から9月末にかけて「グランピング」での宿泊も可能。,,,,オスロブ,Oslob,"Bancogon, Oslob, Cebu, Philippines",https://goo.gl/maps/JcCsjy3n38gpRu7a9,https://www.bluewatersumilon.com.ph
バディアン アイランド ウェルネス リゾート,Badian Island Wellness Resort,リゾートホテル,Resort hotel,自然のなかにフィリピンの伝統家屋を模したヴィラが点々と建つ、隠れ家的雰囲気たっぷりのリゾート。島がまるごとホテルのリゾート施設となっており、すべて65㎡以上のゆったりとした造り。環境に負担をかけないないよう、海水カスケードプール、有機庭園を併設している。,,,,バディアン,Badian,"Zaragosa Island, Badian, 6031 Cebu, Philippines",https://g.page/BadianIsland?share,https://www.badianwellness.com
プルクラ リゾート,Pulchra Resort,リゾートホテル,Resort hotel,小さな町にあるリゾート。客室はすべてスイートで、その半分程度がプライベートプール付きのヴィラタイプ。大理石の床や木製の家具、素焼きの容器など自然素材を使い、フィリピン伝統の素朴さも重視。,,,,サンフェルナンド,San Fernando,"San Isidro, San Fernando, 6018 Cebu, Philippines",https://goo.gl/maps/jRPhgTQt7aja8Md19,http://www.pulchraresorts.com/index.php/en/rooms-ph-en
